id,date,city,venue,category,title,time,ticketUrl,cost
"170","2020-06-28","Anchorage","Special Olympics Alaska","dance","Dance Party","7p-8p","",""
"171","2020-06-28","Anchorage","Koot’s","comedy","Comedy Open Mic Night at Koot's","8:30p-10p","",""
"172","2020-06-28","Anchorage","Van’s Dive Bar","music","Open Mic Night","9p-1a","",""
"173","2020-06-28","Anchorage","Yukon Bar (Seward)","music","Open Jam with Ben Sayers","9p-1a","",""
"174","2020-06-29","Anchorage","Anchorage Downtown Partnership","music","Virtual Music for Little Ones","12p-1p","",""
"175","2020-06-29","Anchorage","Williwaw","music","Industry Night w/ Lloyds Noize","6p-9p","",""
"176","2020-06-29","Anchorage","Koot’s","music","Open Mic with The Eternal Cowboys","9p-1:30a","",""
"177","2020-06-29","Anchorage","Van’s Dive Bar","music","Mondrews w/ Drew Erickson","9p-12a","",""
"178","2020-06-30","Anchorage","AJ’s OldTown Steakhouse & Tavern","music","Hobo Jim","6:30p-8p & 8:30p-9:30p","",""
"179","2020-06-30","Anchorage","American Legion Spenard Post 28","music","Bonus Jam Night at Post 28!","6p-8p","",""
"180","2020-06-30","Anchorage","Koot’s","music","The Eternal Cowboys","9p-1:30a","",""
"181","2020-06-30","Anchorage","Seward Alehouse (Seward)","music","Tyson Tuesdays","9p-12a","",""
"182","2020-06-30","Anchorage","Van’s Dive Bar","theatre","Garrett Plays With Himself","9p-12a","",""
"183","2020-07-01","Anchorage","Anchorage Downtown Partnership","music","Virtual Music in the Park w/ KonneXion","12p-1p","",""
"184","2020-07-01","Anchorage","Williwaw","music","Sounds of Summer w/ DJ GRE","6p-9p","",""
"185","2020-07-01","Anchorage","The Schwabenhof (Wasilla)","music","Open Mic Night","7:30p-11:30p","",""
"186","2020-07-01","Anchorage","International Hotel and Bar (Fairbanks)","music","Open Mic at The Big I","7:30p-1a","",""
"187","2020-08-07","Anchorage","Arctic Fox (Fairbanks)","music","Arly Jylz","10p-3a","",""
"188","2020-08-07","Anchorage","Anchorage Downtown Partnership","music","UDC Fitness Shuffle In the Park!","12p-1a","",""
